PE,TIM,DI_0,DI_1,DI_2,DI_3,AI_0 EgF,AI_0 PEgF,AI_0 Evt,AI_1 EgF,AI_1 PEgF,AI_1 Evt,AI_2 EgF,AI_2 PEgF,AI_2 Evt,AI_3 EgF,AI_3 PEgF,AI_3 Evt
P   ,06/04/2022 14:27,0,0,0,0,20.707,0,23.133,0,15.347,0,0,0,,,,
P   ,06/04/2022 14:28,0,0,0,0,20.695,0,23.133,0,15.278,0,0,0,,,,
P   ,06/04/2022 14:29,0,0,0,0,20.695,0,23.133,0,15.312,0,0,0,,,,
P   ,06/04/2022 14:30,0,0,0,0,20.695,0,23.133,0,15.381,0,0,0,,,,
P   ,06/04/2022 14:31,0,0,0,0,20.695,0,23.15,0,15.431,0,0,0,,,,
P   ,06/04/2022 14:32,0,0,0,0,20.695,0,23.167,0,15.398,0,0,0,,,,
P   ,06/04/2022 14:33,0,0,0,0,20.695,0,23.201,0,15.381,0,0,0,,,,
P   ,06/04/2022 14:34,0,0,0,0,20.695,0,23.167,0,15.448,0,0,0,,,,
P   ,06/04/2022 14:35,0,0,0,0,20.695,0,23.184,0,15.517,0,0,0,,,,
P   ,06/04/2022 14:36,0,0,0,0,20.695,0,23.201,0,15.398,0,0,0,,,,
P   ,06/04/2022 14:37,0,0,0,0,20.695,0,23.201,0,15.5,0,0,0,,,,
P   ,06/04/2022 14:38,0,0,0,0,20.695,0,23.217,0,15.5,0,0,0,,,,
P   ,06/04/2022 14:39,0,0,0,0,20.695,0,23.234,0,15.431,0,0,0,,,,
P   ,06/04/2022 14:40,0,0,0,0,20.695,0,23.234,0,15.5,0,0,0,,,,
P   ,06/04/2022 14:41,0,0,0,0,20.695,0,23.234,0,15.482,0,0,0,,,,
P   ,06/04/2022 14:42,0,0,0,0,20.695,0,23.217,0,15.482,0,0,0,,,,
P   ,06/04/2022 14:43,0,0,0,0,20.695,0,23.217,0,15.5,0,0,0,,,,
P   ,06/04/2022 14:44,0,0,0,0,20.695,0,23.234,0,15.568,0,0,0,,,,
P   ,06/04/2022 14:45,0,0,0,0,20.695,0,23.251,0,15.551,0,0,0,,,,
P   ,06/04/2022 14:46,0,0,0,0,20.695,0,23.251,0,15.517,0,0,0,,,,
P   ,06/04/2022 14:47,0,0,0,0,20.695,0,23.251,0,15.584,0,0,0,,,,
P   ,06/04/2022 14:48,0,0,0,0,20.695,0,23.234,0,15.5,0,0,0,,,,
P   ,06/04/2022 14:49,0,0,0,0,20.695,0,23.234,0,15.601,0,0,0,,,,
P   ,06/04/2022 14:50,0,0,0,0,20.695,0,23.251,0,15.618,0,0,0,,,,
P   ,06/04/2022 14:51,0,0,0,0,20.695,0,23.251,0,15.584,0,0,0,,,,
P   ,06/04/2022 14:52,0,0,0,0,20.707,0,23.234,0,15.687,0,0,0,,,,
P   ,06/04/2022 14:53,0,0,0,0,20.707,0,23.251,0,15.687,0,0,0,,,,
P   ,06/04/2022 14:54,0,0,0,0,20.695,0,23.268,0,15.584,0,0,0,,,,
P   ,06/04/2022 14:55,0,0,0,0,20.707,0,23.268,0,15.584,0,0,0,,,,
P   ,06/04/2022 14:56,0,0,0,0,20.707,0,23.251,0,15.652,0,0,0,,,,
P   ,06/04/2022 14:57,0,0,0,0,20.707,0,23.268,0,15.652,0,0,0,,,,
P   ,06/04/2022 14:58,0,0,0,0,20.695,0,23.268,0,15.687,0,0,0,,,,
P   ,06/04/2022 14:59,0,0,0,0,20.707,0,23.286,0,15.687,0,0,0,,,,
P   ,06/04/2022 15:00,0,0,0,0,20.707,0,23.303,0,15.67,0,0,0,,,,
P   ,06/04/2022 15:01,0,0,0,0,20.707,0,23.303,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:02,0,0,0,0,20.707,0,23.286,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:03,0,0,0,0,20.707,0,23.303,0,15.601,0,0,0,,,,
P   ,06/04/2022 15:04,0,0,0,0,20.707,0,23.32,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:05,0,0,0,0,20.707,0,23.337,0,15.584,0,0,0,,,,
P   ,06/04/2022 15:06,0,0,0,0,20.707,0,23.354,0,15.534,0,0,0,,,,
P   ,06/04/2022 15:07,0,0,0,0,20.707,0,23.354,0,15.534,0,0,0,,,,
P   ,06/04/2022 15:08,0,0,0,0,20.707,0,23.354,0,15.551,0,0,0,,,,
P   ,06/04/2022 15:09,0,0,0,0,20.707,0,23.303,0,15.551,0,0,0,,,,
P   ,06/04/2022 15:10,0,0,0,0,20.707,0,23.32,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:11,0,0,0,0,20.707,0,23.303,0,15.652,0,0,0,,,,
P   ,06/04/2022 15:12,0,0,0,0,20.707,0,23.303,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:13,0,0,0,0,20.707,0,23.32,0,15.652,0,0,0,,,,
P   ,06/04/2022 15:14,0,0,0,0,20.707,0,23.32,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:15,0,0,0,0,20.707,0,23.286,0,15.907,0,0,0,,,,
P   ,06/04/2022 15:16,0,0,0,0,20.707,0,23.268,0,15.601,0,0,0,,,,
P   ,06/04/2022 15:17,0,0,0,0,20.695,0,23.234,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:18,0,0,0,0,20.695,0,23.251,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:19,0,0,0,0,20.695,0,23.234,0,15.788,0,0,0,,,,
P   ,06/04/2022 15:20,0,0,0,0,20.695,0,23.251,0,15.721,0,0,0,,,,
P   ,06/04/2022 15:21,0,0,0,0,20.695,0,23.268,0,15.635,0,0,0,,,,
P   ,06/04/2022 15:22,0,0,0,0,20.695,0,23.286,0,15.67,0,0,0,,,,
P   ,06/04/2022 15:23,0,0,0,0,20.695,0,23.268,0,15.568,0,0,0,,,,
P   ,06/04/2022 15:24,0,0,0,0,20.695,0,23.251,0,15.601,0,0,0,,,,
P   ,06/04/2022 15:25,0,0,0,0,20.695,0,23.234,0,15.415,0,0,0,,,,
P   ,06/04/2022 15:26,0,0,0,0,20.695,0,23.234,0,15.465,0,0,0,,,,
P   ,06/04/2022 15:27,0,0,0,0,20.683,0,23.217,0,15.431,0,0,0,,,,
P   ,06/04/2022 15:28,0,0,0,0,20.683,0,23.217,0,15.465,0,0,0,,,,
P   ,06/04/2022 15:29,0,0,0,0,20.695,0,23.217,0,15.465,0,0,0,,,,
P   ,06/04/2022 15:30,0,0,0,0,20.695,0,23.217,0,15.381,0,0,0,,,,
P   ,06/04/2022 15:31,0,0,0,0,20.695,0,23.201,0,15.381,0,0,0,,,,
P   ,06/04/2022 15:32,0,0,0,0,20.695,0,23.201,0,15.5,0,0,0,,,,
P   ,06/04/2022 15:33,0,0,0,0,20.695,0,23.201,0,15.415,0,0,0,,,,
P   ,06/04/2022 15:34,0,0,0,0,20.683,0,23.201,0,15.415,0,0,0,,,,
P   ,06/04/2022 15:35,0,0,0,0,20.683,0,23.184,0,15.347,0,0,0,,,,
P   ,06/04/2022 15:36,0,0,0,0,20.695,0,23.167,0,15.584,0,0,0,,,,
P   ,06/04/2022 15:37,0,0,0,0,20.695,0,23.167,0,15.482,0,0,0,,,,
P   ,06/04/2022 15:38,0,0,0,0,20.683,0,23.15,0,15.517,0,0,0,,,,
P   ,06/04/2022 15:39,0,0,0,0,20.683,0,23.133,0,15.517,0,0,0,,,,
P   ,06/04/2022 15:40,0,0,0,0,20.683,0,23.133,0,15.465,0,0,0,,,,
P   ,06/04/2022 15:41,0,0,0,0,20.683,0,23.133,0,15.448,0,0,0,,,,
P   ,06/04/2022 15:42,0,0,0,0,20.683,0,23.115,0,15.431,0,0,0,,,,
P   ,06/04/2022 15:43,0,0,0,0,20.683,0,23.098,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:44,0,0,0,0,20.683,0,23.098,0,15.465,0,0,0,,,,
P   ,06/04/2022 15:45,0,0,0,0,20.683,0,23.098,0,15.482,0,0,0,,,,
P   ,06/04/2022 15:46,0,0,0,0,20.683,0,23.098,0,15.415,0,0,0,,,,
P   ,06/04/2022 15:47,0,0,0,0,20.683,0,23.115,0,15.381,0,0,0,,,,
P   ,06/04/2022 15:48,0,0,0,0,20.683,0,23.098,0,15.329,0,0,0,,,,
P   ,06/04/2022 15:49,0,0,0,0,20.683,0,23.081,0,15.448,0,0,0,,,,
P   ,06/04/2022 15:50,0,0,0,0,20.683,0,23.064,0,15.534,0,0,0,,,,
P   ,06/04/2022 15:51,0,0,0,0,20.683,0,23.031,0,15.5,0,0,0,,,,
P   ,06/04/2022 15:52,0,0,0,0,20.683,0,22.997,0,15.551,0,0,0,,,,
P   ,06/04/2022 15:53,0,0,0,0,20.683,0,22.997,0,15.584,0,0,0,,,,
P   ,06/04/2022 15:54,0,0,0,0,20.683,0,22.98,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:55,0,0,0,0,20.683,0,22.98,0,15.584,0,0,0,,,,
P   ,06/04/2022 15:56,0,0,0,0,20.683,0,22.962,0,15.618,0,0,0,,,,
P   ,06/04/2022 15:57,0,0,0,0,20.683,0,22.962,0,15.721,0,0,0,,,,
P   ,06/04/2022 15:58,0,0,0,0,20.683,0,22.928,0,15.857,0,0,0,,,,
P   ,06/04/2022 15:59,0,0,0,0,20.683,0,22.911,0,15.788,0,0,0,,,,
P   ,06/04/2022 16:00,0,0,0,0,20.683,0,22.894,0,15.891,0,0,0,,,,
P   ,06/04/2022 16:01,0,0,0,0,20.672,0,22.827,0,16.01,0,0,0,,,,
P   ,06/04/2022 16:02,0,0,0,0,20.672,0,22.844,0,16.044,0,0,0,,,,
P   ,06/04/2022 16:03,0,0,0,0,20.672,0,22.827,0,16.094,0,0,0,,,,
P   ,06/04/2022 16:04,0,0,0,0,20.672,0,22.81,0,16.077,0,0,0,,,,
P   ,06/04/2022 16:05,0,0,0,0,20.672,0,22.81,0,16.111,0,0,0,,,,
P   ,06/04/2022 16:06,0,0,0,0,20.66,0,22.827,0,16.044,0,0,0,,,,
P   ,06/04/2022 16:07,0,0,0,0,20.66,0,22.827,0,16.044,0,0,0,,,,
P   ,06/04/2022 16:08,0,0,0,0,20.66,0,22.861,0,15.975,0,0,0,,,,
P   ,06/04/2022 16:09,0,0,0,0,20.672,0,22.878,0,15.891,0,0,0,,,,
P   ,06/04/2022 16:10,0,0,0,0,20.672,0,22.894,0,15.771,0,0,0,,,,
P   ,06/04/2022 16:11,0,0,0,0,20.672,0,22.928,0,15.754,0,0,0,,,,
P   ,06/04/2022 16:12,0,0,0,0,20.672,0,22.945,0,15.754,0,0,0,,,,
P   ,06/04/2022 16:13,0,0,0,0,20.672,0,22.945,0,15.771,0,0,0,,,,
P   ,06/04/2022 16:14,0,0,0,0,20.672,0,22.928,0,15.84,0,0,0,,,,
P   ,06/04/2022 16:15,0,0,0,0,20.672,0,22.928,0,15.823,0,0,0,,,,
P   ,06/04/2022 16:16,0,0,0,0,20.672,0,22.928,0,15.84,0,0,0,,,,
P   ,06/04/2022 16:17,0,0,0,0,20.672,0,22.878,0,15.975,0,0,0,,,,
P   ,06/04/2022 16:18,0,0,0,0,20.672,0,22.878,0,15.975,0,0,0,,,,
